objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language ,rights
news_014,Newsletter152.pdf,Newsletter 152:Keith's Corner-McGill News,Keith Gibson,2022-04-08,Keith prepares to go to the city council with plans for the McGill Heritage Center. The old hospital is the proposed site of the Heritage Center. The Drug Store gets a cleaning!,Heritage Center;Hospitals;Drug Stores,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_015,Newsletter153.pdf,Newsletter 153:Keith's Corner-McGill News,Keith Gibson,2022-04-15,Keith recalls some of the old shops and their brands.,Main Street,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_016,Newsletter154.pdf,Newsletter 154:Keith's Corner-McGill News,Keith Gibson,2022-04-22,An image from 1909 showing early housing is included. The present-day McGill City Council apporves the motion to create the Heritage Center. It has been passed to the White Pine Countyl Commission.,Heritage Center,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_017,Newsletter155.pdf,Newsletter 155:Keith's Corner-McGill News,Keith Gibson,2022-04-29,"A wonderful anecdote featuring Frank Burnside, the first man to take off and land an airplane in White Pine County, circa July 4th, 1913. Frank made a total of four flights that memorable day. New scanners arrive at the drugstore!",People,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_018,Newsletter156.pdf,Newsletter 156:Keith's Corner-McGill News,Keith Gibson,2022-05-06,"A vintage photo of the drug store from 1941, showing the Pharmacist and Druggist. Keith begins to scan the thousands of vintage document begins at the drugstore.",People;Drug Stores;Heritage Center,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_019,Newsletter157.pdf,Newsletter 157:Keith's Corner-McGill News,Keith Gibson,2022-05-13,Friday the 13th inspires a memorable anecdote about superstition. Keith reaches a milestone as he scans over 2100 pages of inventory at the drugstore.,People;Drug Stores;Heritage Center,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_020,Newsletter158.pdf,Newsletter 158:Keith's Corner-McGill News,Keith Gibson,2022-05-20,1930s and 40s McGill kids got along just fine with toys that didn't require batteries or electricity! Ingenuity inspired kids to build things with their own two hands.,Toys;Drug Stores,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_021,Newsletter159.pdf,Newsletter 159:Keith's Corner-McGill News,Keith Gibson,2022-05-27,"More toys! Toys were simple during the pre and post-war years, but challenged kids' abilities to create. Wheelbarrow's became transportation devices, chemistry sets produced lead lead soldiers and spare parts became model airplanes. Keith gets formal approval to use the old McGill hospital as the McGill Heritage Center. Stay tuned.",Toys,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_022,Newsletter160.pdf,Newsletter 160:Keith's Corner-McGill News,Keith Gibson,2022-06-03,"When plans go astray. Fun anecdote on fishing, bridges and life. Present-day McGill moves along with Heritage Center planning and a potential idea to operate the soda fountain at the drugstore. The music festival is this week.",People,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_023,Newsletter161.pdf,Newsletter 161:Keith's Corner-McGill News,Keith Gibson,2022-06-10,"Memories of 1945 McGill, when birds were plentiful and motorized vehicles were not.",Birds,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_024,Newsletter162.pdf,Newsletter 162:Keith's Corner-McGill News,Keith Gibson,2022-06-17,"Present-day McGill residents notice the lack of birds, bees and butterflies. Quite a contrast to the old days when birds were plentiful. ",Birds,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_025,Newsletter163.pdf,Newsletter 163:Keith's Corner-McGill News,Keith Gibson,2022-06-23,"The construction of the pipeline to bring water from dams built in Duck Creek valley was brought to fruition on December 25, 1907. On this date, the first water flowed through the pipeline. In 1929, the wooden pipeline was replaced by a steel one. Present-day McGill gets a new council member and McGill strives to become a destination instead of a pass-through town.",Smelters;Dams,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_026,Newsletter164.pdf,Newsletter 164:Keith's Corner-McGill News,Keith Gibson,2022-07-01,"When the trains came through McGill to pick up ore, they were sprayed with a salt solution to prevent the wet ore from freezing and sticking to the sides of the cars in winter months. It was a huge advantage over heating the sides of the cars with a flamethrower! Included is an image of the spraying device. ",Railroads,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_027,Newsletter165.pdf,Newsletter 165:Keith's Corner-McGill News,Keith Gibson,2022-07-08,"This month marks the 100 year anniversary of the tragic McGill fire of 1922. Included in this issue are images of the fire and the sad aftermath. There is also an image of the newly rebuilt mill, which took only 68 days to build.",Tragedies,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_028,Newsletter166.pdf,Newsletter 166:Keith's Corner-McGill News,Keith Gibson,2022-07-15,An explanation of the two reverb furnaces and their purpose within the smelter. Present-day McGill experiences a hot and windy July.,Smelters,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_029,Newsletter167.pdf,Newsletter 167:Keith's Corner-McGill News,Keith Gibson,2022-07-22,"Recycling turned old junk into useful items for McGill youth, circa the late 1940s. The Red Cross provided swimming lessons for McGill kids in the community ""pool"", which was a popular pastime.",Pools,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_030,Newsletter168.pdf,Newsletter 168:Keith's Corner-McGill News,Keith Gibson,2022-07-29,"Memories of Engine #40, that used to bring freight into McGill from Cobre. #40 is still around and is housed at the Nevada Northern Depot. Present-day McGill was granted $5000.00 for maintenance projects.",Railroads,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_031,Newsletter169.pdf,Newsletter 169:Keith's Corner-McGill News,Keith Gibson,2022-08-05,Scrap metal for the war effort became the fate of several old engines. Present-day McGill sees an influx visitors from Las Vegas.,Railroads;WWII,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_032,Newsletter170.pdf,Newsletter 170:Keith's Corner-McGill News,Keith Gibson,2022-08-12,"The 2022 quilt show, held annually, comes to White Pine. The drugstore gets a coat of fresh paint.",Quilts,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_033,Newsletter171.pdf,Newsletter 171:Keith's Corner-McGill News,Keith Gibson,2022-08-19,The McGill Theater gets a facelift and the Drugstore paint job is in-progress.,Scouts;Main Street,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_034,Newsletter172.pdf,Newsletter 172:Keith's Corner-McGill News,Keith Gibson,2022-08-26,A vintage image of Main Street (approx. late 1950s or early 1960s) is shown. The Clubhouse and Steptoe Service Station can be seen. Scanning Drugstore inventory continues as 2650 pages are now complete.,Main Street,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_035,Newsletter173.pdf,Newsletter 173:Keith's Corner-McGill News,Keith Gibson,2022-09-02,Inflation and the price of gas over the decades. Present-day McGill readies for the Annual Splash event.,Service Stations,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_036,Newsletter174.pdf,Newsletter 174:Keith's Corner-McGill News,Keith Gibson,2022-09-09,Snow days never happened in McGill. Kids found plenty of ways to entertain themselves during cold winter months. The annual McGill Birthday bash was a huge success.,Schools,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_037,Newsletter175.pdf,Newsletter 175:Keith's Corner-McGill News,Keith Gibson,2022-09-16,"Keith recalls shoes in the early years of McGill, when kids had less of a selection! Work continues at the Drugstore.",Schools;Drug Stores,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_038,Newsletter176.pdf,Newsletter 176:Keith's Corner-McGill News,Keith Gibson,2022-09-23,The process of pouring copper bars (in the 1950s) is explained. The Drugstore renovation continues. A vintage image of the Liberty Pit is included.,Kennecott;Smelters;Drug Stores,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_039,Newsletter177.pdf,Newsletter 177:Keith's Corner-McGill News,Keith Gibson,2022-09-30,The Drugstore gets some special visitors,People,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_040,Newsletter178.pdf,Newsletter 178:Keith's Corner-McGill News,Keith Gibson,2022-10-07,Boulder/Hoover Dam construction occurred in the 1930s as a project to put people to work during the Great Depression. Keith's father worked on the dam construction.,Dams;Kennecott,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_041,Newsletter179.pdf,Newsletter 179:Keith's Corner-McGill News,Keith Gibson,2022-10-14,A brief history on how Hoover Dam was constructed as well as the 112 workers who were killed during the construction. the Drugstore gets some visitors from Germany!,Dams,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_042,Newsletter180.pdf,Newsletter 180:Keith's Corner-McGill News,Keith Gibson,2022-10-21,The kindness of strangers and the return of a Prince to the Drugstore.,Drug Stores,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_043,Newsletter181.pdf,Newsletter 181:Keith's Corner-McGill News,Keith Gibson,2022-10-28,"Memories of Halloween, pumpkin-carving and scary stories in the 1940s and 1950s. ",Holidays,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_044,Newsletter182.pdf,Newsletter 182:Keith's Corner-McGill News,Keith Gibson,2022-11-04,An update on the many changes (both cosmetic and functional) at the Drugstore. Things are looking good! A vintage image of the McGill Candy Kitchen and Bernstein Clothiers (now the antique store) is included.,Drug Stores;Main Street,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_045,Newsletter183.pdf,Newsletter 183:Keith's Corner-McGill News,Keith Gibson,2022-11-11,Marching Band from surrounding schools are displayed at the Drugstore. Keith recalls days gone by when kids proudly marched at the various parades to represent their city and school. ,Schools;Bands,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_046,Newsletter184.pdf,Newsletter 184:Keith's Corner-McGill News,Keith Gibson,2022-11-18,More on the marching bands that existed in the 1950s and the effort that went into preparing for each performance. ,Schools;Bands,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_047,Newsletter185.pdf,Newsletter 185:Keith's Corner-McGill News,Keith Gibson,2022-11-25,"Thanksgiving in 1940s McGill was a time for family, food and fun. It still is today, just more expensive and commercialized.",Holidays,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_048,Newsletter186.pdf,Newsletter 186:Keith's Corner-McGill News,Keith Gibson,2022-12-02,"As the 1960 Christmas holiday approaches, McGill readies itself for the arrival of Santa! This tradition still exists today in McGill.",Holidays,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_049,Newsletter187.pdf,Newsletter 187:Keith's Corner-McGill News,Keith Gibson,2022-12-09,Memories of Christmases past and the wonderful food that always accompanies the holiday. ,Holidays,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_050,Newsletter188.pdf,Newsletter 188:Keith's Corner-McGill News,Keith Gibson,2022-12-16,McGill celebrates the holiday in the midst of WWII.,Holidays;WWII,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_051,Newsletter189.pdf,Newsletter 189:Keith's Corner-McGill News,Keith Gibson,2022-12-23,"A colorful Christmas image from the Idaho Meridian Times, circa 1932.",Holidays,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_052,Newsletter190.pdf,Newsletter 190:Keith's Corner-McGill News,Keith Gibson,2022-12-30,More wonderful Christmas and New Years memories as well an an anecdote about the way McGill celebrated New Years back in the day!,Holidays,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_054,mcgill_staff_1941.jpg,"The staff at the McGill Pharmacy, circa 1941,",Keith Gibson,1941,"L-R: Walter Zeigenbein, Mary Evelyn Oxborrow, Charles Handley. Walter (Pharmacist) and Mary later married. Charles (Druggist). Several items in the image are still in the drug store today.",Drug Stores,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,image/jpeg,eng,
news_055,teachers_dorm_1940s.jpg,Teachers Dormitory,Keith Gibson,1945,"The McGill Grad School teacher's dormitory, courtesy of Margaret Papez Payton",Schools,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,image/jpeg,eng,
news_056,engine_40_2018.jpg,Lage's Stage Shop,Keith Gibson,1949,Lage's (Stage Stop) in the late 1940's or early 1950's.,Railroads,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,image/jpeg,eng,
news_057,vanner_tables_1908.jpg,Vanner Tables,Keith Gibson,1908,Vanner Tables were used to separate or concentrate the copper and other metals from the crushed ore.,Kennecott,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,image/jpeg,eng,
news_058,employee_1940_unk.jpg,McGill Drugstore ,Keith Gibson,1908,Unknown employee at the Drugstore.,Drug Stores,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,image/jpeg,eng,
news_059,connie_roberts_1950.jpg,Drugstore employee,Keith Gibson,1940,Connie Roberts worked at the Drugstore in the 1950s.,People,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,image/jpeg,eng,
